event_uuid,relationship_to_event,award_uuid,award_name,entity_uuid,created_at,updated_at
0095a82e-5aa6-ba12-ac36-a38452448541,award,4ac676db-41b5-1f2d-db13-ee799ce8b3df,"Table at TechCrunch Disrupt , UploadVR Best in Show & 25k On Stage Investment by BoostVC",2508f5db-e8da-8242-6f28-69ee3d02f94c,2015-06-23 06:38:54,2015-06-23 06:38:55
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,052a77f7-2839-3dbd-3960-70090fc7a42c,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,156c5121-26b7-bf07-5fce-5a615a6d3e41,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,208bb1b5-98e8-71b9-1ec4-e66e53fd67f9,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,374d9e83-fb6b-f6d0-51eb-fdcd3b06e4f0,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,3a558fc8-d7e9-4d80-0b3d-d7bd86c03da0,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,4bb11f21-1987-b27b-0a46-b4eeb88d6fc8,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,54f44c29-cb14-fb04-df62-6fbd3c499a50,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,6f5b87ca-bea8-9d31-b9d9-faf38f81b3b4,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
0d23d975-e1c8-29f4-4fd3-0f23874d8aeb,award,a37a53fe-4987-9b69-a66a-e544f6552142,Startup Battlefield: Disrupt Cup,7260b0ec-fe56-7920-03e2-53474abb275c,2016-09-13 21:55:55.274399,2016-09-13 21:55:55.274063
