,0,1
80,"('ShoppinPal', {'region': 'SF Bay Area', 'cat': 'E-Commerce', 'uuid': 'c4064be1-f7aa-e31b-6a95-ac539d984fa3'})",534
81,"('Sheryl Sandberg', {})",534
82,"('The Chernin Group', {})",534
83,"('TranscribeMe', {'region': 'SF Bay Area', 'cat': 'iOS', 'uuid': '9df5e602-5a9f-0f72-2660-01db366574eb'})",534
84,"('Teforia', {'region': 'SF Bay Area', 'cat': 'Consumer Goods', 'uuid': 'b97a16a1-1d6e-1e03-d5c7-c1ada5a2f2a9'})",534
85,"('Tamatem Inc.', {'region': 'SF Bay Area', 'cat': 'Mobile', 'uuid': '08aa47b7-ad95-80ba-c059-e98617986b19'})",534
86,"('Qpixel Technology', {'region': 'SF Bay Area', 'cat': 'Electronics', 'uuid': '87b2a407-4245-967a-fc27-fcda19105bc5'})",534
87,"('Tello Applications', {'region': 'SF Bay Area', 'cat': 'Customer Service', 'uuid': '8b725bb0-9bfb-1170-d18b-2048643c7280'})",534
88,"('GroupTie', {'region': 'SF Bay Area', 'cat': 'Collaboration', 'uuid': '0709d929-aee8-ff91-7ca5-b40f8192bec3'})",534
89,"('D2S', {'region': 'SF Bay Area', 'cat': 'Manufacturing', 'uuid': '016a094e-01ad-fea8-aa3a-8fd0846705ca'})",534
90,"('The Draper Richards Kaplan Foundation', {})",534
91,"('Brian Tu', {})",534
92,"('J. Patrick Horner', {})",534
93,"('Larry Braitman', {})",534
94,"('Certess', {'region': 'SF Bay Area', 'cat': 'EDA', 'uuid': 'f3f93549-0ae8-5e35-7770-29213b5d78ca'})",534
95,"('Simbol Materials', {'region': 'SF Bay Area', 'cat': 'Advanced Materials', 'uuid': '10762a6b-16f9-7977-8faf-0e8311b9f606'})",534
96,"('Mobiplex', {'region': 'SF Bay Area', 'cat': 'Android', 'uuid': '1378e170-5224-1801-e5c1-4b33819d2753'})",534
97,"('Vision Capital Advisors', {})",534
98,"('John Emerson', {})",534
99,"('Massimo Sgrelli', {})",534
100,"('1517 Fund', {})",534
101,"('Jamcracker', {'region': 'SF Bay Area', 'cat': 'Messaging', 'uuid': '65ae2a28-30cd-fbab-936c-03e517649dfc'})",534
102,"('West Capital Advisors', {})",534
103,"('Gurbaksh Chahal', {})",534
104,"('Ben Kepes', {})",534
105,"('Paidpiper', {'region': 'SF Bay Area', 'cat': 'E-Commerce', 'uuid': '0c7d29fa-2140-11ba-79dc-60c3f5431515'})",534
106,"('Simplee', {'region': 'SF Bay Area', 'cat': 'FinTech', 'uuid': 'c92bb53f-86ae-b496-c9c1-eed3b2a97353'})",534
107,"('blisce/', {})",534
108,"('Nels Friets', {})",534
109,"('Genee', {'region': 'SF Bay Area', 'cat': 'Apps', 'uuid': '2b0ee6f4-594a-3717-df4b-c7cd4ecb14ca'})",534
110,"('Investible', {})",534
111,"('MKI', {})",534
112,"('Tercica', {'region': 'SF Bay Area', 'cat': 'Biotechnology', 'uuid': '0675393d-28ed-3ac0-b1a1-6265213e19fc'})",239
113,"('Bertelsmann', {})",56
114,"('Adello Inc', {'region': 'SF Bay Area', 'cat': 'Advertising', 'uuid': '4aa9b6d2-7906-65b6-197b-032f4b353964'})",534
115,"('Felicis Ventures', {})",534
116,"('Recoleta Ventures', {})",534
117,"('Pantry', {'region': 'SF Bay Area', 'cat': 'Hardware', 'uuid': '2cafcdad-4739-d237-530c-2512f110062b'})",534
118,"('Firebolt Ventures', {})",534
119,"('Clearwell Systems', {'region': 'SF Bay Area', 'cat': 'Apps', 'uuid': '19686635-1f63-e984-8522-e138eb5e4d3d'})",432
120,"('Ticonderoga Capital', {})",534
121,"('Zettaset, Inc.', {'region': 'SF Bay Area', 'cat': 'Big Data', 'uuid': 'c41545b0-aab2-ada8-ff86-9d1e3ed8532a'})",534
122,"('CMU OFEF', {})",534
123,"('Bill & Melinda Gates Foundation', {})",534
124,"('Inktank', {'region': 'SF Bay Area', 'cat': 'Cloud Computing', 'uuid': '3b0d848d-85f9-a928-aa1c-6fa653c8814e'})",534
125,"('MedeAnalytics', {'region': 'SF Bay Area', 'cat': 'Analytics', 'uuid': '94b8cce7-c384-a231-2499-4dc6215f76b3'})",124
126,"('Lead - Cisco', {})",534
127,"('Charles Cheever', {})",534
128,"('California Institute for Regenerative Medicine', {})",534
129,"('GSV Asset Management', {})",534
130,"('Merchants Capital Partners LP', {})",534
131,"('Jeff Fluhr', {})",534
132,"('The Explorer Group', {})",534
133,"('Nicholas Moore', {})",534
134,"('Nate Westheimer', {})",534
135,"('BodaBus', {})",534
136,"('NOCpulse', {'region': 'SF Bay Area', 'cat': 'Infrastructure', 'uuid': 'c9ba8aeb-e20b-cd17-9115-c82d7a40675a'})",534
137,"('Zumper', {'region': 'SF Bay Area', 'cat': 'B2B', 'uuid': '3d90ccb3-eb2c-a9d2-a904-e8ed774ccea2'})",534
138,"('Getaround', {'region': 'SF Bay Area', 'cat': 'Collaborative Consumption', 'uuid': 'fbc50833-7945-d49b-a823-f20b54259905'})",534
139,"('Stationfy', {'region': 'SF Bay Area', 'cat': 'Video', 'uuid': 'e94d5b9d-cb48-8e38-17d2-26a84623a3ec'})",534
140,"('Aditya Agarwal', {})",534
141,"('RideCell', {'region': 'SF Bay Area', 'cat': 'Enterprise Software', 'uuid': '0ab599c0-0644-6dd7-72e0-c89b1f725263'})",534
142,"('InnoSpring Seed Fund', {'region': 'SF Bay Area', 'cat': 'Automotive', 'uuid': '4bc1981b-5343-7bdc-0ca0-b785cf06d7f7'})",534
143,"('Super Evil Mega Corp', {'region': 'SF Bay Area', 'cat': 'Gaming', 'uuid': '613edad5-5018-ac1d-d1fa-a19adacfc749'})",534
144,"('SKYlights, Inc.', {'region': 'SF Bay Area', 'cat': 'Air Transportation', 'uuid': '06be0844-722a-18de-992b-604f6d28c7f1'})",534
145,"('Soundhawk Corporation', {'region': 'SF Bay Area', 'cat': 'Hardware', 'uuid': '00572f97-a71a-912f-33ff-53e630513374'})",534
146,"('WS Ventures Management', {})",534
147,"('Ron Johnson', {})",534
148,"('C9 Inc.', {'region': 'SF Bay Area', 'cat': 'Analytics', 'uuid': '16bf621f-d1b4-e478-2192-5ae81635bad7'})",534
149,"('Node', {'region': 'SF Bay Area', 'cat': 'Big Data', 'uuid': '0cad6bb1-6fea-2808-a4d3-fa8491732505'})",534
150,"('Fathom Health', {'region': 'SF Bay Area', 'cat': 'Billing', 'uuid': '652a6564-80b9-1479-1355-99e12c5fb6d7'})",534
151,"('Longworth Venture Partners', {})",534
152,"('BioCision', {'region': 'SF Bay Area', 'cat': 'Biotechnology', 'uuid': 'b064e4ec-6ffc-9cc0-4576-f6b53dcd577e'})",534
153,"('Huddler', {'region': 'SF Bay Area', 'cat': 'Internet', 'uuid': 'df7fa96a-d975-8ab2-a837-258d63acdbf2'})",534
154,"('Mirror', {'region': 'SF Bay Area', 'cat': 'Bitcoin', 'uuid': '5a905466-90bd-615f-a3a3-67c586018af7'})",534
155,"('Cameo Global', {'region': 'SF Bay Area', 'cat': 'Information Technology', 'uuid': '5c07776c-bff4-68f3-1557-168689d85958'})",534
156,"('Sam Nurmi', {})",534
157,"('Max Simkoff', {})",534
158,"('Keibi Technologies', {'region': 'SF Bay Area', 'cat': 'Content', 'uuid': '4ca2a8d2-de8a-6815-6044-12543a0243a8'})",534
159,"('PreNav', {'region': 'SF Bay Area', 'cat': 'Aerospace', 'uuid': '1d4c49a6-f2b8-de8a-23dc-bb95c6276b5e'})",534
160,"('LLC, First Round', {})",534
161,"('GVA capital', {})",534
162,"('H&Q Asia Pacific', {})",534
163,"('LaunchTrack', {'region': 'SF Bay Area', 'cat': 'Analytics', 'uuid': 'd71b73c9-c8ab-1fa5-ef07-f06ef47593c7'})",534
164,"('Oriental Fortune Capital', {})",534
165,"('Locket', {'region': 'SF Bay Area', 'cat': 'Android', 'uuid': '095e1ba4-0a84-96ea-e587-bb746d9f47d2'})",534
166,"('Geoff Mathieux', {})",534
167,"('Boris Nikolic', {})",534
168,"('Zao Yang', {})",534
169,"('Amino Capital', {})",534
